Date,Product Name,City,Quantity Sold,Price,Revenue,Day of Week,Month,Season,Customer Name,Phonenumber,Is_Regular
2024-02-13,Paracetamol,Salem,4,13.296308663563554,53.18523465425422,Tuesday,February,Winter,Chitra,+915760375803,False
2024-05-08,Antacids,Kanchipuram,9,4.133868744595798,37.204818701362186,Wednesday,May,Spring,Kalyani,5933813986,False
2024-10-13,Paracetamol,Salem,4,14.37100830650841,57.48403322603364,Sunday,October,Autumn,Kumar,2635784049,False
2024-09-26,Paracetamol,Vellore,9,11.946989353938902,107.52290418545012,Thursday,September,Autumn,Arun,+918848260355,False
2024-09-05,Vitamins,Kanchipuram,1,17.081764776951427,17.081764776951427,Thursday,September,Autumn,Rakesh,07582322663,False
2024-05-19,Vitamins,Madurai,9,5.746129237444584,51.715163137001255,Sunday,May,Spring,Dinesh,+918061445373,False
2024-05-29,Ibuprofen,Tirunelveli,7,11.130918824416316,77.91643177091422,Wednesday,May,Spring,Harish,0155623213,False
2024-06-10,Paracetamol,Tirunelveli,5,12.521471068430563,62.607355342152815,Monday,June,Monsoon,Ganesh,+910383659882,False
2024-11-22,Paracetamol,Vellore,3,17.6905916152448,53.071774845734396,Friday,November,Autumn,Anjali,+918892786291,False
2024-09-24,Ibuprofen,Chennai,7,13.41081557728554,93.87570904099877,Tuesday,September,Autumn,Ajay,03143189247,False
2024-03-08,Aspirin,Kanchipuram,7,19.696802585918782,137.87761810143147,Friday,March,Spring,Eswari,+918003715139,False
2024-08-03,Antacids,Tirunelveli,9,7.693921562810128,69.24529406529115,Saturday,August,Monsoon,Uma,2617587657,False
2024-05-05,Vitamins,Vellore,3,10.657993522998927,31.97398056899678,Sunday,May,Spring,Kalyani,+917034049669,False
2024-01-08,Antacids,Erode,6,11.812914033677274,70.87748420206364,Friday,May,Spring,Ravi,09497399540,True
2024-10-22,Ibuprofen,Coimbatore,8,9.617310970883308,76.93848776706646,Tuesday,October,Autumn,Hari,00904339828,False
2024-12-30,Antacids,Coimbatore,8,7.839583225088914,62.71666580071131,Monday,December,Winter,Abhilash,+912907679999,False
2024-12-19,Vitamins,Salem,3,10.30142980093078,30.90428940279234,Thursday,December,Winter,Pavithra,+915069087380,False
2024-08-20,Vitamins,Tirunelveli,3,5.2545690731472225,15.763707219441667,Tuesday,August,Monsoon,Uma,+913443235551,False
2024-02-18,Paracetamol,Vellore,2,15.889240660735881,31.778481321471762,Wednesday,September,Autumn,Lalitha,5792208487,True
2024-12-13,Paracetamol,Erode,5,19.85553157888402,99.27765789442009,Friday,December,Winter,Hari,+910012773607,False
2024-12-25,Vitamins,Kanchipuram,3,12.208289550736849,36.624868652210544,Wednesday,December,Winter,Gayathri,9652035479,False
2024-10-16,Aspirin,Chennai,5,4.987031230527321,24.935156152636605,Wednesday,October,Autumn,Satish,09263841289,False
2024-12-23,Vitamins,Tiruchirappalli,3,19.434496978825912,58.303490936477736,Monday,December,Winter,Uma,+918095584738,False
2024-02-09,Antacids,Madurai,2,6.924121757887949,13.848243515775899,Friday,February,Winter,Pavithra,+917561433840,False
2024-12-14,Antacids,Kanchipuram,2,11.307476725197551,22.614953450395102,Saturday,December,Winter,Rani,5998986736,False
2024-07-20,Ibuprofen,Salem,1,13.864549906514622,13.864549906514622,Saturday,July,Monsoon,Siva,+916913583190,False
2024-07-28,Ibuprofen,Tirunelveli,7,13.598485858901915,95.18940101231341,Sunday,July,Monsoon,Naren,+910562896323,False
2024-06-13,Paracetamol,Erode,4,18.1840745380954,72.7362981523816,Thursday,June,Monsoon,Suresh,08141106822,False
2024-12-13,Antacids,Thanjavur,1,17.58036245350051,17.58036245350051,Friday,December,Winter,Meera,08748531328,False
2024-03-28,Aspirin,Chennai,9,19.103041482466946,171.92737334220251,Thursday,March,Spring,Meenal,+910712715607,False
2024-07-22,Vitamins,Erode,1,14.886260328632998,14.886260328632998,Monday,July,Monsoon,Shankar,+914024152752,False
2024-10-11,Vitamins,Salem,5,9.963279846963223,49.81639923481612,Friday,October,Autumn,Chitra,+918463621669,False
2024-03-24,Paracetamol,Tiruchirappalli,1,5.082733998260985,5.082733998260985,Sunday,March,Spring,Ilango,06512298565,False
2024-05-19,Vitamins,Thanjavur,5,4.323268611880643,21.616343059403214,Sunday,May,Spring,Ajay,5370986150,False
2024-11-03,Antacids,Coimbatore,3,4.482316888067494,13.446950664202483,Sunday,November,Autumn,Usha,+910658230376,False
2024-06-07,Aspirin,Thanjavur,3,15.192890563790565,45.578671691371696,Friday,June,Monsoon,Elango,4652576554,False
2024-11-22,Aspirin,Tiruchirappalli,1,11.491656928525725,11.491656928525725,Friday,November,Autumn,Vanitha,8784670194,False
2024-06-03,Vitamins,Kanchipuram,2,5.5757468183934895,11.151493636786979,Monday,June,Monsoon,Sandhya,01882544866,False
2024-09-26,Ibuprofen,Madurai,7,1.1755613962442746,8.228929773709922,Thursday,September,Autumn,Yogesh,06207122561,False
2024-07-27,Paracetamol,Madurai,9,2.2151500562986413,19.93635050668777,Saturday,July,Monsoon,Kumar,+918267646579,False
2024-08-15,Ibuprofen,Thanjavur,5,7.425020084900067,37.12510042450034,Thursday,August,Monsoon,Rakesh,4842901037,False
2024-02-26,Aspirin,Thanjavur,9,14.595661991721757,131.36095792549582,Monday,February,Winter,Sandhya,8998654436,False
2024-11-01,Ibuprofen,Erode,2,4.692502235916681,9.385004471833362,Friday,November,Autumn,Yogesh,04232102525,False
2024-01-30,Ibuprofen,Kanchipuram,6,15.828106370976256,94.96863822585753,Tuesday,January,Winter,Bhavani,00846200698,False
2024-01-08,Ibuprofen,Chennai,7,8.003107516462734,56.02175261523914,Monday,January,Winter,Chitra,7753512131,False
2024-07-28,Vitamins,Tiruchirappalli,1,10.715060668382664,10.715060668382664,Sunday,July,Monsoon,Meera,07603347043,False
2024-03-06,Vitamins,Erode,5,11.815004441778884,59.07502220889442,Wednesday,March,Spring,Suresh,+919656483555,False
2024-05-18,Paracetamol,Erode,7,8.73758225686234,61.163075798036374,Saturday,May,Spring,Karthik,7387023626,False
2024-04-21,Antacids,Kanchipuram,3,14.786292920000996,44.35887876000299,Sunday,April,Spring,Usha,+914990418982,False
2024-08-13,Antacids,Kanchipuram,5,2.510919569148359,12.554597845741796,Tuesday,August,Monsoon,Divya,7541920620,False
2024-05-08,Paracetamol,Erode,4,15.29055589877074,61.16222359508296,Wednesday,May,Spring,Satish,6945222544,False
2024-08-14,Ibuprofen,Vellore,2,5.866651970879533,11.733303941759067,Wednesday,August,Monsoon,Gayathri,2981178268,False
2024-08-12,Paracetamol,Kanchipuram,6,9.666670769209114,58.00002461525469,Monday,August,Monsoon,Abhilash,4426435357,False
2024-05-05,Paracetamol,Madurai,5,8.21861216210229,41.093060810511446,Sunday,May,Spring,Meenal,2894261133,False
2024-04-18,Antacids,Madurai,5,14.24294759277476,71.2147379638738,Thursday,April,Spring,Pavithra,6707760632,False
2024-09-13,Antacids,Coimbatore,4,12.16439306873139,48.65757227492556,Friday,September,Autumn,Swathi,4083587738,False
2024-06-20,Paracetamol,Vellore,4,1.8476337238281677,7.390534895312671,Thursday,June,Monsoon,Venkatesh,+915219792940,False
2024-08-14,Antacids,Thanjavur,1,6.829391891358727,6.829391891358727,Wednesday,August,Monsoon,Hema,8705433169,False
2024-02-02,Antacids,Madurai,2,10.030499396263703,20.060998792527407,Friday,February,Winter,Lalith,5526744727,False
2024-06-27,Ibuprofen,Erode,2,6.274325856903555,12.54865171380711,Thursday,June,Monsoon,Anjali,03654099359,False
2024-07-04,Vitamins,Coimbatore,5,11.999525363238996,59.99762681619498,Thursday,July,Monsoon,Thavapalan,02661584646,False
2024-12-31,Aspirin,Kanchipuram,8,8.581481112358938,68.6518488988715,Tuesday,December,Winter,Kumar,3010403320,False
2024-07-26,Aspirin,Kanchipuram,7,14.608639310142355,102.26047517099649,Friday,July,Monsoon,Chitra,+912905615201,False
2024-04-14,Paracetamol,Thanjavur,7,10.565121130859099,73.9558479160137,Sunday,April,Spring,Karthik,03713380232,False
2024-01-16,Ibuprofen,Madurai,6,19.085615059821986,114.51369035893191,Tuesday,January,Winter,Nisha,07419486040,False
2024-08-08,Ibuprofen,Coimbatore,3,19.85616094242746,59.56848282728238,Thursday,August,Monsoon,Meenal,+918597763587,False
2024-08-17,Antacids,Madurai,5,8.570250913773865,42.85125456886932,Saturday,August,Monsoon,Lalith,5067904817,False
2024-06-23,Aspirin,Chennai,1,1.6327879043872278,1.6327879043872278,Sunday,June,Monsoon,Oviya,05977511214,False
2024-05-05,Aspirin,Tirunelveli,9,17.061795954584557,153.55616359126103,Sunday,May,Spring,Balaji,9026676909,False
2024-07-16,Paracetamol,Salem,4,2.8710820639154457,11.484328255661783,Tuesday,July,Monsoon,Shankar,+911118808302,False
2024-06-20,Antacids,Vellore,7,5.42213845630208,37.95496919411456,Thursday,June,Monsoon,Venkatesh,+917838639928,False
2024-04-25,Aspirin,Madurai,6,2.293407405519684,13.760444433118103,Thursday,April,Spring,Naren,+916581385066,False
2024-11-25,Vitamins,Madurai,6,3.4900493930898975,20.940296358539385,Monday,November,Autumn,Dinesh,+914297690614,False
2024-02-05,Antacids,Vellore,6,1.86753319779059,11.20519918674354,Monday,February,Winter,Jaya,2520412047,False
2024-06-02,Ibuprofen,Tiruchirappalli,7,6.942312619696962,48.59618833787873,Sunday,June,Monsoon,Chitra,09422833540,False
2024-03-19,Paracetamol,Thanjavur,6,13.651323233624566,81.9079394017474,Tuesday,March,Spring,Hema,03798100185,False
2024-05-18,Aspirin,Coimbatore,4,14.4249194191866,57.6996776767464,Saturday,May,Spring,Suresh,8123974347,False
2024-07-16,Aspirin,Erode,2,7.900063898968481,15.800127797936963,Tuesday,July,Monsoon,Rani,06675251802,False
2024-06-01,Antacids,Tiruchirappalli,9,7.6218680203587015,68.59681218322831,Saturday,June,Monsoon,Nisha,+913672332924,False
2024-06-01,Ibuprofen,Salem,2,18.194018565448612,36.388037130897224,Saturday,June,Monsoon,Satish,07705067900,False
2024-08-23,Paracetamol,Erode,2,19.06809961005249,38.13619922010498,Friday,August,Monsoon,Meenal,+916277286268,False
2024-01-05,Paracetamol,Salem,4,3.1625161674073623,12.65006466962945,Sunday,April,Spring,Sangeetha,00486994286,True
2024-02-03,Aspirin,Erode,1,13.922195214914808,13.922195214914808,Sunday,June,Monsoon,Ravi,08254295322,True
2024-05-26,Vitamins,Thanjavur,4,6.78489974016907,27.13959896067628,Sunday,May,Spring,Vijay,6800783801,False
2024-04-26,Paracetamol,Salem,4,4.828836553141148,19.31534621256459,Friday,April,Spring,Venkatesh,02412085088,False
2024-10-12,Antacids,Erode,2,19.391345765480313,38.782691530960626,Saturday,October,Autumn,Abhilash,03111883364,False
2024-02-12,Aspirin,Thanjavur,5,13.766233309319164,68.83116654659582,Monday,February,Winter,Sandhya,0948704170,False
2024-09-22,Aspirin,Erode,6,18.01233180147599,108.07399080885594,Sunday,September,Autumn,Rajesh,06999054587,False
2024-04-15,Aspirin,Vellore,2,12.252377956474898,24.504755912949797,Monday,April,Spring,Murali,+910677624375,False
2024-10-16,Aspirin,Kanchipuram,3,6.187169124584188,18.561507373752566,Wednesday,October,Autumn,Prakash,+910363428598,False
2024-08-10,Vitamins,Vellore,3,10.61146129268086,31.83438387804258,Saturday,August,Monsoon,Thavapalan,+910561430103,False
2024-01-13,Antacids,Vellore,3,15.261305435650762,45.783916306952285,Thursday,August,Monsoon,Rukmani,1335847741,True
2024-10-28,Paracetamol,Kanchipuram,7,18.128176739955006,126.89723717968504,Monday,October,Autumn,Ganesh,8082522105,False
2024-06-11,Aspirin,Salem,7,15.061852986735968,105.43297090715177,Tuesday,June,Monsoon,Anjali,+916643881707,False
2024-05-08,Vitamins,Coimbatore,3,4.893550052234334,14.680650156703,Wednesday,May,Spring,Kalyani,06329231660,False
2024-04-28,Ibuprofen,Thanjavur,6,11.329883022733808,67.97929813640285,Sunday,April,Spring,Ajay,02520681984,False
2024-01-07,Antacids,Salem,6,1.46602054745113,8.79612328470678,Sunday,January,Winter,Hema,+911575937791,False
2024-11-03,Aspirin,Coimbatore,4,1.4619507944929977,5.847803177971991,Sunday,November,Autumn,Oviya,00639064514,False
2024-06-30,Antacids,Chennai,6,6.505741642490998,39.03444985494599,Sunday,June,Monsoon,Rukmini,09411990934,False
2024-02-29,Vitamins,Coimbatore,6,13.296736423986685,79.7804185439201,Sunday,January,Winter,Ravi,4805817370,True
2024-02-10,Aspirin,Tiruchirappalli,6,14.233166183327551,85.3989970999653,Saturday,February,Winter,Gokul,3750668119,False
2024-04-05,Paracetamol,Tirunelveli,1,1.5529002698210093,1.5529002698210093,Friday,April,Spring,Satish,+915878171712,False
2024-04-03,Paracetamol,Thanjavur,7,16.326717180958603,114.28702026671021,Wednesday,April,Spring,Hema,+914810511045,False
2024-03-24,Vitamins,Tiruchirappalli,2,12.757697196586154,25.515394393172308,Sunday,March,Spring,Vignesh,+912414695964,False
2024-05-15,Vitamins,Tirunelveli,1,10.551694461761157,10.551694461761157,Wednesday,May,Spring,Rajesh,6816432933,False
2024-09-09,Antacids,Kanchipuram,1,16.76805000346352,16.76805000346352,Monday,September,Autumn,Hema,07306948609,False
2024-04-26,Paracetamol,Vellore,1,8.393558864922529,8.393558864922529,Friday,April,Spring,Thavapalan,+914728749006,False
2024-01-10,Vitamins,Madurai,2,9.481493894180856,18.962987788361712,Wednesday,January,Winter,Anjali,+915434843787,False
2024-11-23,Antacids,Thanjavur,7,7.864807950204608,55.05365565143226,Saturday,November,Autumn,Vignesh,+916871024292,False
2024-03-21,Antacids,Salem,8,10.018691772572145,80.14953418057716,Thursday,March,Spring,Kalyani,6282525684,False
2024-03-31,Aspirin,Madurai,2,13.779063914633905,27.55812782926781,Sunday,March,Spring,Nisha,+916352558534,False
2024-11-11,Paracetamol,Tiruchirappalli,5,1.0588912806033495,5.294456403016747,Monday,November,Autumn,Dinesh,01118948506,False
2024-10-02,Antacids,Vellore,1,19.611011657373712,19.611011657373712,Wednesday,October,Autumn,Venkatesh,+917066953815,False
2024-09-10,Paracetamol,Madurai,9,6.875774503315117,61.88197052983605,Tuesday,September,Autumn,Vignesh,+919708845577,False
2024-09-12,Antacids,Erode,5,10.775742122676379,53.87871061338189,Thursday,September,Autumn,Nisha,0615720871,False
2024-08-02,Vitamins,Tiruchirappalli,9,7.735615021282993,69.62053519154694,Friday,August,Monsoon,Vikram,05955685695,False
2024-10-23,Antacids,Chennai,6,19.708000836416833,118.248005018501,Wednesday,October,Autumn,Elango,09726289466,False
2024-12-21,Vitamins,Chennai,8,19.54828760562258,156.38630084498064,Saturday,December,Winter,Sandhya,00039823131,False
2024-10-20,Aspirin,Coimbatore,7,3.8060259859274397,26.642181901492076,Sunday,October,Autumn,Bhavani,6064240306,False
2024-04-11,Ibuprofen,Chennai,1,5.951944670959778,5.951944670959778,Thursday,April,Spring,Ajay,+915668404066,False
2024-08-27,Antacids,Chennai,8,15.162563404998567,121.30050723998853,Tuesday,August,Monsoon,Siva,02129217667,False
2024-07-18,Paracetamol,Erode,3,15.837691524821285,47.51307457446386,Thursday,July,Monsoon,Gokul,06776264498,False
2024-09-21,Aspirin,Tiruchirappalli,7,18.076432163858332,126.53502514700833,Saturday,September,Autumn,Balaji,6932454679,False
2024-04-27,Antacids,Erode,6,12.040556663769198,72.2433399826152,Saturday,April,Spring,Vanitha,0301100708,False
2024-03-29,Ibuprofen,Erode,3,2.112163522475617,6.33649056742685,Friday,March,Spring,Hari,+911458213934,False
2024-01-25,Aspirin,Kanchipuram,4,19.377926811951554,77.51170724780621,Thursday,January,Winter,Murali,09592908274,False
2024-03-22,Aspirin,Madurai,3,8.672062072679356,26.01618621803807,Friday,March,Spring,Kumar,02782029965,False
2024-05-25,Ibuprofen,Erode,6,13.144551085282458,78.86730651169475,Saturday,May,Spring,Suresh,+914462839005,False
2024-04-21,Aspirin,Salem,2,2.330801612748248,4.661603225496496,Sunday,April,Spring,Murali,09792987118,False
2024-01-12,Ibuprofen,Coimbatore,2,7.157571138453013,14.315142276906027,Friday,January,Winter,Gokul,+916477467120,False
2024-03-30,Paracetamol,Madurai,4,6.341906354574983,25.367625418299934,Saturday,March,Spring,Jothi,3762967084,False
2024-09-16,Aspirin,Salem,6,2.6194281455958808,15.716568873575284,Monday,September,Autumn,Abhilash,1745232034,False
2024-11-30,Antacids,Erode,8,2.962664946617634,23.70131957294107,Saturday,November,Autumn,Ajay,+915947896327,False
2024-12-24,Ibuprofen,Kanchipuram,8,8.680628740845917,69.44502992676733,Tuesday,December,Winter,Elango,0175946746,False
2024-07-24,Aspirin,Thanjavur,9,7.749278764153531,69.74350887738179,Wednesday,July,Monsoon,Gayathri,9679938532,False
2024-11-20,Antacids,Madurai,7,6.8401462251701055,47.88102357619074,Wednesday,November,Autumn,Meera,02183586765,False
2024-08-24,Antacids,Tiruchirappalli,8,1.4739497679155638,11.79159814332451,Saturday,August,Monsoon,Rani,+911729838320,False
2024-01-19,Paracetamol,Thanjavur,2,18.312746068057827,36.62549213611565,Friday,January,Winter,Ishwarya,0928318350,True
2024-12-07,Paracetamol,Coimbatore,9,14.545610206028073,130.91049185425265,Saturday,December,Winter,Naren,07683732209,False
2024-12-03,Antacids,Vellore,6,4.047477189824717,24.2848631389483,Tuesday,December,Winter,Naren,09789775853,False
2024-03-19,Ibuprofen,Coimbatore,8,4.661641558703976,37.29313246963181,Tuesday,March,Spring,Pavithra,+914906076299,False
2024-05-24,Ibuprofen,Tirunelveli,2,5.826479389766788,11.652958779533575,Friday,May,Spring,Dinesh,00225869843,False
2024-10-23,Paracetamol,Kanchipuram,3,6.269465154799627,18.80839546439888,Wednesday,October,Autumn,Rajesh,8521289391,False
2024-05-30,Paracetamol,Tiruchirappalli,4,19.443897412642023,77.7755896505681,Thursday,May,Spring,Murali,9931445895,False
2024-06-22,Aspirin,Erode,1,14.040878942281257,14.040878942281257,Saturday,June,Monsoon,Anjali,06177640224,False
2024-07-14,Paracetamol,Tirunelveli,2,10.645075397574532,21.290150795149064,Sunday,July,Monsoon,Nisha,3465581056,False
2024-12-04,Ibuprofen,Madurai,8,17.670576994308274,141.3646159544662,Wednesday,December,Winter,Arun,+915657537291,False
2024-11-10,Paracetamol,Salem,5,13.229883661207259,66.1494183060363,Sunday,November,Autumn,Anjali,06613505339,False
2024-08-23,Antacids,Thanjavur,3,16.045711822987126,48.137135468961375,Friday,August,Monsoon,Yogesh,02556642096,False
2024-02-19,Ibuprofen,Thanjavur,1,4.154908665903667,4.154908665903667,Monday,February,Winter,Vanitha,03283628866,False
2024-07-13,Ibuprofen,Erode,7,10.385198845757246,72.69639192030073,Saturday,July,Monsoon,Gokul,3352072715,False
2024-05-30,Aspirin,Salem,9,9.1111828440104,82.0006455960936,Thursday,May,Spring,Yogesh,01670660233,False
2024-10-17,Paracetamol,Kanchipuram,8,1.6946587269648674,13.55726981571894,Thursday,October,Autumn,Pavithra,3023424407,False
2024-05-18,Vitamins,Chennai,4,6.397636565061123,25.59054626024449,Saturday,May,Spring,Gokul,9665594667,False
2024-10-12,Antacids,Salem,8,13.802909521442398,110.42327617153919,Saturday,October,Autumn,Bhavani,+910082161060,False
2024-06-17,Antacids,Tiruchirappalli,1,12.325234811541987,12.325234811541987,Monday,June,Monsoon,Vijay,4243210543,False
2024-05-11,Ibuprofen,Kanchipuram,8,15.62937653875169,125.03501231001351,Saturday,May,Spring,Jaya,08637010143,False
2024-12-12,Vitamins,Madurai,1,17.613598424422005,17.613598424422005,Thursday,December,Winter,Murali,04261740265,False
2024-09-02,Antacids,Kanchipuram,7,14.798316478813003,103.58821535169102,Monday,September,Autumn,Kalyani,9875717671,False
2024-10-12,Vitamins,Salem,2,4.956811790308192,9.913623580616385,Saturday,October,Autumn,Meera,9050971881,False
2024-02-29,Vitamins,Thanjavur,1,4.023778501902614,4.023778501902614,Thursday,February,Winter,Sandhya,+916787710271,False
2024-01-28,Paracetamol,Tirunelveli,5,17.234740533767514,86.17370266883756,Friday,August,Monsoon,Ishwarya,+910444125258,True
2024-06-14,Aspirin,Erode,8,14.585999351838174,116.68799481470539,Friday,June,Monsoon,Kumar,+918774831967,False
2024-04-15,Vitamins,Tirunelveli,3,13.703511107932352,41.11053332379706,Monday,April,Spring,Murali,02370278794,False
2024-02-28,Paracetamol,Tirunelveli,2,11.926478436475977,23.852956872951953,Friday,October,Autumn,Lalitha,03073463310,True
2024-08-13,Paracetamol,Chennai,7,19.485323123695647,136.39726186586952,Tuesday,August,Monsoon,Oviya,9279678959,False
2024-04-09,Vitamins,Salem,4,14.49865943058534,57.99463772234136,Tuesday,April,Spring,Vignesh,3456972102,False
2024-09-27,Antacids,Vellore,2,12.807987688520727,25.615975377041455,Friday,September,Autumn,Hari,+912422425652,False
2024-05-11,Ibuprofen,Tiruchirappalli,4,7.452989839157784,29.811959356631135,Saturday,May,Spring,Usha,02663426296,False
2024-02-26,Aspirin,Chennai,9,18.080260752313603,162.7223467708224,Monday,February,Winter,Vignesh,+910932020405,False
2024-12-22,Aspirin,Chennai,3,9.490662314977783,28.47198694493335,Sunday,December,Winter,Shankar,3000213671,False
2024-09-07,Vitamins,Thanjavur,6,14.903139523224963,89.41883713934978,Saturday,September,Autumn,Rukmini,+917921921222,False
2024-05-20,Ibuprofen,Tirunelveli,2,15.804409232734846,31.608818465469692,Monday,May,Spring,Abhilash,+912243363851,False
2024-10-15,Vitamins,Salem,2,3.688623226816105,7.37724645363221,Tuesday,October,Autumn,Suresh,0222179883,False
2024-03-22,Vitamins,Thanjavur,6,7.180639345340538,43.083836072043226,Friday,March,Spring,Karthik,1078024757,False
2024-10-01,Vitamins,Salem,3,18.720645099334124,56.161935298002376,Tuesday,October,Autumn,Ajay,6116550055,False
2024-10-02,Paracetamol,Thanjavur,4,7.615646912183882,30.46258764873553,Wednesday,October,Autumn,Hari,08363403635,False
2024-10-03,Antacids,Chennai,7,18.45238257261665,129.16667800831655,Thursday,October,Autumn,Balaji,03945693014,False
2024-12-28,Paracetamol,Erode,4,4.125279822181671,16.501119288726684,Saturday,December,Winter,Venkatesh,2426756037,False
2024-01-31,Paracetamol,Vellore,4,11.763616032794092,47.05446413117637,Wednesday,January,Winter,Hari,06959787950,False
2024-03-01,Paracetamol,Tirunelveli,8,10.829195586805522,86.63356469444417,Friday,March,Spring,Meera,1130943922,False
2024-04-26,Vitamins,Tirunelveli,5,14.90104055245144,74.5052027622572,Friday,April,Spring,Karthik,+919441669916,False
2024-10-29,Paracetamol,Erode,8,5.5222142723191014,44.17771417855281,Tuesday,October,Autumn,Sandhya,1089176945,False
2024-04-29,Aspirin,Salem,2,15.37642062887867,30.75284125775734,Monday,April,Spring,Ganesh,9601019932,False
2024-12-16,Ibuprofen,Thanjavur,2,10.74520113816332,21.49040227632664,Monday,December,Winter,Kumar,09662466423,False
2024-09-01,Ibuprofen,Erode,6,14.408490835802546,86.45094501481528,Sunday,September,Autumn,Naren,+914345460116,False
2024-02-18,Antacids,Coimbatore,6,14.827654191073943,88.96592514644365,Sunday,February,Winter,Oviya,+915645167613,False
2024-01-02,Ibuprofen,Thanjavur,5,4.084801010340669,20.424005051703347,Tuesday,January,Winter,Meenal,2232264974,False
2024-04-06,Antacids,Kanchipuram,3,10.121156868594356,30.36347060578307,Saturday,April,Spring,Oviya,+915062899742,False
2024-04-22,Aspirin,Coimbatore,4,5.181973354837221,20.727893419348884,Monday,April,Spring,Sandhya,+913242791228,False
2024-03-05,Vitamins,Erode,1,17.2281828159417,17.2281828159417,Tuesday,March,Spring,Siva,4727250216,False
2024-12-07,Paracetamol,Salem,8,2.3144705170554003,18.515764136443202,Saturday,December,Winter,Uma,4578468367,False
2024-10-11,Ibuprofen,Tirunelveli,3,9.438306775837631,28.314920327512894,Friday,October,Autumn,Elango,05020394899,False
2024-04-21,Ibuprofen,Salem,9,6.779297590395685,61.013678313561165,Sunday,April,Spring,Pavithra,9987338762,False
2024-11-23,Vitamins,Kanchipuram,2,14.754886571525192,29.509773143050385,Saturday,November,Autumn,Ajay,+913345687034,False
2024-07-03,Paracetamol,Tiruchirappalli,4,12.9581574562613,51.8326298250452,Wednesday,July,Monsoon,Sandhya,6706772960,False
2024-09-30,Paracetamol,Madurai,2,2.158905128849904,4.317810257699808,Monday,September,Autumn,Suresh,01163591071,False
2024-11-28,Aspirin,Thanjavur,1,3.24440733182074,3.24440733182074,Thursday,November,Autumn,Uma,+911523029783,False
2024-11-12,Ibuprofen,Tiruchirappalli,2,18.485163332456427,36.970326664912854,Tuesday,November,Autumn,Murali,02555964690,False
2024-07-21,Vitamins,Erode,5,11.907746014825314,59.53873007412657,Sunday,July,Monsoon,Naren,+919104226985,False
2024-03-27,Aspirin,Kanchipuram,1,3.0419787876072863,3.0419787876072863,Wednesday,March,Spring,Oviya,04538782386,False
2024-12-26,Ibuprofen,Erode,1,5.629879630343412,5.629879630343412,Thursday,December,Winter,Meera,+912581459366,False
2024-01-30,Antacids,Coimbatore,6,15.137923388104872,90.82754032862923,Tuesday,January,Winter,Divya,+917716650364,False
