Date,Product Name,City,Quantity Sold,Price,Revenue,Day of Week,Month,Season,Customer Name,Phonenumber
2024-02-01,Vitamins,Madurai,9,8.233855654859545,74.1047008937359,Thursday,February,Winter,Prakash,+91-8329932541
2024-06-01,Paracetamol,Kanchipuram,6,9.532585126324502,57.19551075794701,Saturday,June,Monsoon,Prakash,+91-9178121175
2024-12-01,Paracetamol,Erode,2,19.06809961005249,38.13619922010498,Sunday,December,Winter,Prakash,+91-7660237924
2024-01-01,Vitamins,Madurai,3,10.574738625709275,31.724215877127826,Monday,January,Winter,Shankar,+91-7540231713
2024-11-01,Vitamins,Chennai,8,3.5051887250960982,28.041509800768786,Friday,November,Autumn,Shankar,+91-9274026924
2024-10-01,Ibuprofen,Tiruchirappalli,5,2.376254501850149,11.881272509250744,Tuesday,October,Autumn,Shankar,+91-8815701392
2024-09-01,Aspirin,Erode,9,17.872830402936497,160.85547362642848,Sunday,September,Autumn,Shankar,+91-7782336036
2024-12-01,Antacids,Coimbatore,7,17.895433112889005,125.26803179022303,Sunday,December,Winter,Shankar,+91-9264604921
2024-07-01,Ibuprofen,Thanjavur,6,11.329883022733808,67.97929813640285,Monday,July,Monsoon,Shankar,+91-9666625223
2024-03-01,Vitamins,Coimbatore,4,1.4619507944929977,5.847803177971991,Friday,March,Spring,Shankar,+91-7515829956
2024-05-01,Paracetamol,Vellore,6,18.38102254510344,110.28613527062065,Wednesday,May,Spring,Shankar,+91-8510000076
2024-04-01,Vitamins,Kanchipuram,5,11.24324646474867,56.216232323743355,Monday,April,Spring,Shankar,+91-7136740073
2024-04-01,Paracetamol,Tirunelveli,5,1.8165517633845898,9.082758816922949,Monday,April,Spring,Shankar,+91-7801599614
2024-01-01,Vitamins,Thanjavur,8,13.56123271865389,108.48986174923112,Monday,January,Winter,Shankar,+91-8626027726
2024-02-01,Antacids,Thanjavur,1,7.090741231749078,7.090741231749078,Thursday,February,Winter,Shankar,+91-8538015415
2024-01-01,Paracetamol,Vellore,7,8.661142627865072,60.6279983950555,Monday,January,Winter,Shankar,+91-7436598138
2024-12-01,Aspirin,Chennai,6,19.708000836416833,118.248005018501,Sunday,December,Winter,Shankar,+91-7371780759
2024-10-01,Paracetamol,Thanjavur,6,5.596132379828211,33.57679427896927,Tuesday,October,Autumn,Shankar,+91-7056361770
2024-08-01,Paracetamol,Erode,3,15.837691524821285,47.51307457446386,Thursday,August,Monsoon,Shankar,+91-9285664154
2024-06-01,Antacids,Vellore,2,19.713732856005695,39.42746571201139,Saturday,June,Monsoon,Shankar,+91-9974182334
2024-02-01,Aspirin,Madurai,3,8.672062072679356,26.01618621803807,Thursday,February,Winter,Shankar,+91-9915945744
2024-03-01,Antacids,Salem,2,2.330801612748248,4.661603225496496,Friday,March,Spring,Shankar,+91-7191698630
2024-11-01,Antacids,Salem,6,2.6194281455958808,15.716568873575284,Friday,November,Autumn,Bhavani,+91-9347673693
2024-08-01,Ibuprofen,Kanchipuram,8,4.6207713838612925,36.96617107089034,Thursday,August,Monsoon,Bhavani,+91-7845369629
2024-04-01,Antacids,Coimbatore,1,5.230500722447389,5.230500722447389,Monday,April,Spring,Bhavani,+91-8250589825
2024-04-01,Ibuprofen,Thanjavur,4,15.26941132827157,61.07764531308628,Monday,April,Spring,Bhavani,+91-8519721010
2024-02-01,Ibuprofen,Madurai,9,3.506161745067206,31.555455705604853,Thursday,February,Winter,Bhavani,+91-9320746053
2024-04-01,Ibuprofen,Erode,1,14.040878942281257,14.040878942281257,Monday,April,Spring,Bhavani,+91-9300120229
2024-07-01,Vitamins,Thanjavur,9,8.066456221736765,72.59810599563087,Monday,July,Monsoon,Bhavani,+91-7247757241
2024-02-01,Ibuprofen,Thanjavur,1,4.154908665903667,4.154908665903667,Thursday,February,Winter,Bhavani,+91-7214606628
2024-07-01,Aspirin,Tiruchirappalli,1,2.9458614105959118,2.9458614105959118,Monday,July,Monsoon,Bhavani,+91-7399704135
2024-08-01,Antacids,Salem,8,13.802909521442398,110.42327617153919,Thursday,August,Monsoon,Bhavani,+91-8700183501
2024-11-01,Ibuprofen,Kanchipuram,8,7.686788569418123,61.494308555344986,Friday,November,Autumn,Bhavani,+91-7244601765
2024-06-01,Antacids,Kanchipuram,7,14.798316478813003,103.58821535169102,Saturday,June,Monsoon,Bhavani,+91-7210877048
2024-01-01,Vitamins,Tiruchirappalli,8,18.382398668834274,147.0591893506742,Monday,January,Winter,Bhavani,+91-9975049402
2024-06-01,Antacids,Tirunelveli,1,14.932493552017794,14.932493552017794,Saturday,June,Monsoon,Bhavani,+91-8210163436
2024-05-01,Aspirin,Kanchipuram,7,17.818938213311952,124.73256749318367,Wednesday,May,Spring,Bhavani,+91-9381331536
2024-12-01,Vitamins,Vellore,6,12.126274241568336,72.75764544941,Sunday,December,Winter,Bhavani,+91-9182004212
2024-03-01,Antacids,Erode,8,19.58527129816368,156.68217038530943,Friday,March,Spring,Bhavani,+91-8310140213
2024-10-26,Ibuprofen,Erode,8,10.241798528884644,81.93438823107715,Saturday,October,Autumn,Karthik,+91-8252213830
2024-07-22,Vitamins,Kanchipuram,9,5.017641119865857,45.15877007879271,Monday,July,Monsoon,Bhavani,+91-8658436537
2024-10-18,Paracetamol,Kanchipuram,8,7.990432268539594,63.923458148316755,Friday,October,Autumn,Eswari,+91-9780748440
2024-08-01,Aspirin,Vellore,1,1.7325876751209686,1.7325876751209686,Thursday,August,Monsoon,Rukmini,+91-9473772217
2024-07-27,Paracetamol,Thanjavur,6,7.2750736782410845,43.650442069446505,Saturday,July,Monsoon,Usha,+91-8124145821
2024-08-26,Antacids,Tirunelveli,4,7.383573304464849,29.534293217859396,Monday,August,Monsoon,Kalyani,+91-8371179420
2024-03-15,Antacids,Salem,5,10.921341511040263,54.60670755520131,Friday,March,Spring,Arun,+91-9938304402
2024-09-10,Paracetamol,Salem,8,2.3144705170554003,18.515764136443202,Tuesday,September,Autumn,Arun,+91-7610225512
2024-05-02,Paracetamol,Thanjavur,4,12.230242235845813,48.92096894338325,Thursday,May,Spring,Usha,+91-7310108853
2024-12-07,Aspirin,Kanchipuram,2,15.653283796352294,31.30656759270459,Saturday,December,Winter,Ilango,+91-9616957014
2024-05-25,Ibuprofen,Madurai,6,14.466637427879924,86.79982456727954,Saturday,May,Spring,Ravi,+91-7722653088
2024-08-15,Paracetamol,Thanjavur,6,14.272590784882714,85.63554470929628,Thursday,August,Monsoon,Vanitha,+91-8407239540
2024-04-15,Aspirin,Erode,6,3.5450289233568837,21.2701735401413,Monday,April,Spring,Vikram,+91-8480118949
2024-11-18,Paracetamol,Kanchipuram,1,13.245102959376378,13.245102959376378,Monday,November,Autumn,Yogesh,+91-7812858213
2024-07-21,Paracetamol,Salem,6,1.461181387819163,8.767088326914978,Sunday,July,Monsoon,Pavithra,+91-9771849332
2024-03-11,Paracetamol,Erode,7,4.812115743025801,33.68481020118061,Monday,March,Spring,Anjali,+91-7323112727
2024-05-03,Paracetamol,Chennai,9,18.19170744974029,163.7253670476626,Friday,May,Spring,Nisha,+91-8280403816
2024-01-06,Vitamins,Madurai,7,5.628846968557074,39.40192877989952,Saturday,January,Winter,Kumar,+91-7729808626
2024-02-07,Antacids,Coimbatore,6,15.420706540294496,92.52423924176698,Wednesday,February,Winter,Siva,+91-7838899441
2024-08-18,Aspirin,Chennai,1,11.895434818982048,11.895434818982048,Sunday,August,Monsoon,Shankar,+91-9167152026
2024-07-10,Antacids,Tiruchirappalli,5,19.58492097756297,97.92460488781485,Wednesday,July,Monsoon,Rajesh,+91-9269151931
2024-06-21,Paracetamol,Thanjavur,4,19.769894217336997,79.07957686934799,Friday,June,Monsoon,Ishwarya,+91-9443544900
2024-09-09,Paracetamol,Madurai,4,5.499010695834574,21.996042783338297,Monday,September,Autumn,Anjali,+91-7962177675
2024-05-05,Paracetamol,Vellore,2,14.48431021289379,28.96862042578758,Sunday,May,Spring,Vijay,+91-8464278579
2024-11-09,Ibuprofen,Coimbatore,4,13.04565140714028,52.18260562856112,Saturday,November,Autumn,Ravi,+91-8372813217
2024-07-31,Aspirin,Vellore,8,12.174877748270687,97.3990219861655,Wednesday,July,Monsoon,Hema,+91-9715658815
2024-06-01,Aspirin,Coimbatore,6,9.038034363156301,54.22820617893781,Saturday,June,Monsoon,Nisha,+91-8785019514
2024-10-13,Ibuprofen,Vellore,3,8.21798417193433,24.653952515802988,Sunday,October,Autumn,Ilango,+91-9748331755
2024-03-29,Aspirin,Thanjavur,4,15.699521831226324,62.798087324905296,Friday,March,Spring,Sangeetha,+91-9129588822
2024-11-03,Antacids,Vellore,5,15.69192339527344,78.4596169763672,Sunday,November,Autumn,Abhilash,+91-7102170293
2024-11-24,Ibuprofen,Kanchipuram,1,3.643532408737701,3.643532408737701,Sunday,November,Autumn,Rukmini,+91-8643310786
2024-02-27,Aspirin,Vellore,9,19.336804491141418,174.03124042027275,Tuesday,February,Winter,Usha,+91-7185435766
2024-04-10,Antacids,Kanchipuram,3,15.244327451050307,45.732982353150916,Wednesday,April,Spring,Vijay,+91-8959838590
2024-03-26,Paracetamol,Chennai,7,17.370228314585706,121.59159820209995,Tuesday,March,Spring,Nisha,+91-8645760166
2024-02-06,Vitamins,Salem,3,5.315975247527602,15.947925742582806,Tuesday,February,Winter,Swathi,+91-9431066098
2024-11-05,Aspirin,Coimbatore,9,17.057927652918686,153.52134887626818,Tuesday,November,Autumn,Vijay,+91-7025771320
2024-03-06,Aspirin,Salem,3,13.872658763886195,41.617976291658586,Wednesday,March,Spring,Elango,+91-8175393063
2024-02-20,Antacids,Coimbatore,6,11.456416904109927,68.73850142465956,Tuesday,February,Winter,Chitra,+91-7933978478
2024-06-30,Vitamins,Erode,2,6.79588726889437,13.59177453778874,Sunday,June,Monsoon,Chandran,+91-9036303695
2024-03-24,Ibuprofen,Thanjavur,4,14.360591304297621,57.442365217190485,Sunday,March,Spring,Ishwarya,+91-7035667472
2024-06-28,Ibuprofen,Madurai,6,11.974211710823626,71.84527026494176,Friday,June,Monsoon,Prakash,+91-8878614851
2024-01-28,Aspirin,Salem,8,15.053017522419037,120.42414017935229,Sunday,January,Winter,Chitra,+91-9579663993
2024-01-08,Vitamins,Chennai,4,17.45954003460301,69.83816013841204,Monday,January,Winter,Rukmini,+91-8975420871
2024-07-12,Ibuprofen,Coimbatore,8,11.260911310180147,90.08729048144117,Friday,July,Monsoon,Tharun,+91-9128479883
2024-04-05,Vitamins,Tiruchirappalli,8,17.858379873468532,142.86703898774826,Friday,April,Spring,Rani,+91-8035578026
2024-02-12,Ibuprofen,Tiruchirappalli,2,4.803607875960667,9.607215751921334,Monday,February,Winter,Uma,+91-7230301223
2024-04-09,Antacids,Tiruchirappalli,9,6.676255906186878,60.086303155681904,Tuesday,April,Spring,Vignesh,+91-9196156229
2024-06-18,Paracetamol,Madurai,4,10.737279145121231,42.949116580484926,Tuesday,June,Monsoon,Oviya,+91-9166888522
2024-03-28,Ibuprofen,Tiruchirappalli,5,10.63234879262798,53.1617439631399,Thursday,March,Spring,Uma,+91-8188309293
2024-10-09,Vitamins,Thanjavur,6,11.220969803886147,67.32581882331688,Wednesday,October,Autumn,Kalyani,+91-7717540578
2024-04-24,Ibuprofen,Madurai,7,3.9021045019354723,27.314731513548306,Wednesday,April,Spring,Ishwarya,+91-9866344414
2024-12-13,Antacids,Kanchipuram,9,8.11386569371506,73.02479124343553,Friday,December,Winter,Harish,+91-8217833907
2024-03-13,Antacids,Thanjavur,9,14.291182424791701,128.6206418231253,Wednesday,March,Spring,Meenal,+91-8761812024
2024-06-05,Paracetamol,Erode,8,8.690698950185812,69.5255916014865,Wednesday,June,Monsoon,Vignesh,+91-9230796981
2024-12-01,Vitamins,Madurai,9,11.562816087363528,104.06534478627175,Sunday,December,Winter,Ishwarya,+91-7352014058
2024-11-02,Ibuprofen,Chennai,6,16.04067621852182,96.24405731113092,Saturday,November,Autumn,Gayathri,+91-8908169714
2024-02-11,Vitamins,Coimbatore,9,13.73817204779258,123.64354843013321,Sunday,February,Winter,Arun,+91-9757851478
2024-06-21,Vitamins,Thanjavur,1,8.213567898305639,8.213567898305639,Friday,June,Monsoon,Yamuna,+91-9635895069
2024-10-22,Ibuprofen,Erode,8,1.3741412117503706,10.993129694002965,Tuesday,October,Autumn,Ishwarya,+91-9647367064
2024-01-12,Antacids,Kanchipuram,3,1.552536146156458,4.657608438469374,Friday,January,Winter,Rani,+91-7958109592
2024-06-15,Ibuprofen,Kanchipuram,1,1.5309797038454476,1.5309797038454476,Saturday,June,Monsoon,Sangeetha,+91-9079384451
2024-05-03,Paracetamol,Madurai,2,14.941490582595241,29.882981165190483,Friday,May,Spring,Kalyani,+91-8986238058
2024-02-23,Antacids,Erode,3,5.290368161440783,15.87110448432235,Friday,February,Winter,Yamuna,+91-7105014190
2024-04-17,Antacids,Coimbatore,4,13.787192542861959,55.148770171447836,Wednesday,April,Spring,Kumar,+91-7254242015
2024-11-20,Vitamins,Tiruchirappalli,9,16.293775871023414,146.6439828392107,Wednesday,November,Autumn,Ishwarya,+91-7573602051
2024-10-01,Aspirin,Kanchipuram,3,11.679256104339663,35.03776831301899,Tuesday,October,Autumn,Yamuna,+91-9377146700
2024-10-07,Vitamins,Erode,6,15.961580563660467,95.7694833819628,Monday,October,Autumn,Jothi,+91-9682995585
2024-03-16,Ibuprofen,Coimbatore,5,16.25653218891292,81.28266094456461,Saturday,March,Spring,Anjali,+91-8980560606
2024-09-30,Ibuprofen,Chennai,6,11.679241032248955,70.07544619349373,Monday,September,Autumn,Yamuna,+91-9444721498
2024-01-09,Vitamins,Thanjavur,1,7.030101207823886,7.030101207823886,Tuesday,January,Winter,Rukmini,+91-9899526956
2024-08-14,Antacids,Kanchipuram,1,6.4402613905955315,6.4402613905955315,Wednesday,August,Monsoon,Ilango,+91-8099393465
2024-04-23,Ibuprofen,Tiruchirappalli,8,16.689025582584833,133.51220466067866,Tuesday,April,Spring,Rukmani,+91-9618420283
2024-10-26,Vitamins,Salem,2,6.9411070262346675,13.882214052469335,Saturday,October,Autumn,Bhavani,+91-9424879895
2024-05-24,Antacids,Coimbatore,2,15.702822683869043,31.405645367738085,Friday,May,Spring,Harish,+91-7600232195
2024-02-27,Ibuprofen,Vellore,8,19.708699640383696,157.66959712306956,Tuesday,February,Winter,Chitra,+91-9496964120
2024-03-20,Aspirin,Thanjavur,7,17.70493934607992,123.93457542255945,Wednesday,March,Spring,Shankar,+91-8882127662
2024-05-18,Ibuprofen,Tiruchirappalli,7,11.479421634582268,80.35595144207588,Saturday,May,Spring,Arun,+91-7939421602
2024-07-03,Antacids,Thanjavur,6,1.2530061516828788,7.518036910097273,Wednesday,July,Monsoon,Kumar,+91-9266190133
2024-10-17,Antacids,Kanchipuram,5,2.9244006923301007,14.622003461650504,Thursday,October,Autumn,Vanitha,+91-8568955845
2024-06-23,Antacids,Chennai,7,4.559857127100132,31.918999889700927,Sunday,June,Monsoon,Shankar,+91-7582932911
2024-12-20,Paracetamol,Madurai,4,7.107016580237629,28.428066320950517,Friday,December,Winter,Suresh,+91-9247244915
2024-12-26,Vitamins,Salem,1,7.601733694201102,7.601733694201102,Thursday,December,Winter,Ganesh,+91-9296891110
2024-07-13,Paracetamol,Madurai,6,18.709077860441088,112.25446716264653,Saturday,July,Monsoon,Satish,+91-7856814590
2024-01-11,Ibuprofen,Chennai,2,6.887197677178592,13.774395354357184,Thursday,January,Winter,Uma,+91-9607649236
2024-08-26,Aspirin,Chennai,8,17.157698222919123,137.26158578335298,Monday,August,Monsoon,Rajesh,+91-9429803057
2024-01-17,Vitamins,Erode,9,7.7626234731037,69.8636112579333,Wednesday,January,Winter,Rukmani,+91-8517715078
2024-12-16,Aspirin,Tirunelveli,9,17.015501130422223,153.1395101738,Monday,December,Winter,Thavapalan,+91-8389072876
2024-02-13,Aspirin,Madurai,9,18.943678307921566,170.4931047712941,Tuesday,February,Winter,Sandhya,+91-7341828987
2024-07-13,Ibuprofen,Kanchipuram,7,10.12561445968929,70.87930121782503,Saturday,July,Monsoon,Naren,+91-9727843025
2024-12-08,Aspirin,Thanjavur,4,4.160167660673135,16.64067064269254,Sunday,December,Winter,Vignesh,+91-8453213446
2024-05-04,Ibuprofen,Kanchipuram,8,3.163987991415905,25.31190393132724,Saturday,May,Spring,Chandran,+91-8000045592
2024-01-22,Paracetamol,Thanjavur,2,12.715750427489407,25.431500854978815,Monday,January,Winter,Suresh,+91-8076790948
2024-07-21,Aspirin,Tiruchirappalli,5,5.759891141926393,28.799455709631964,Sunday,July,Monsoon,Uma,+91-7025427356
2024-04-25,Ibuprofen,Vellore,1,1.4794047184685066,1.4794047184685066,Thursday,April,Spring,Murali,+91-7261595233
2024-10-22,Antacids,Vellore,6,6.0917849675839815,36.550709805503885,Tuesday,October,Autumn,Kumar,+91-8518771909
2024-02-15,Paracetamol,Kanchipuram,4,2.7914739593735534,11.165895837494213,Thursday,February,Winter,Murali,+91-8046821210
2024-01-23,Vitamins,Erode,6,6.735445275429038,40.41267165257423,Tuesday,January,Winter,Tharun,+91-9020771498
2024-02-05,Antacids,Tirunelveli,4,4.6349385588994805,18.539754235597922,Monday,February,Winter,Karthik,+91-7613324449
2024-08-18,Paracetamol,Kanchipuram,7,4.1313062071032185,28.91914344972253,Sunday,August,Monsoon,Uma,+91-7974053670
2024-12-12,Aspirin,Tirunelveli,8,12.123451120762901,96.98760896610321,Thursday,December,Winter,Elango,+91-9202608336
2024-08-30,Vitamins,Salem,6,14.619105153584007,87.71463092150404,Friday,August,Monsoon,Jothi,+91-7209159584
2024-09-27,Paracetamol,Madurai,2,6.2409134893251705,12.481826978650341,Friday,September,Autumn,Anjali,+91-7313147645
2024-12-13,Paracetamol,Erode,4,19.79330480331726,79.17321921326904,Friday,December,Winter,Rajesh,+91-7836573281
2024-06-17,Paracetamol,Kanchipuram,6,16.156526434019007,96.93915860411404,Monday,June,Monsoon,Gayathri,+91-9632535191
2024-07-24,Ibuprofen,Vellore,4,9.135774495816111,36.543097983264445,Wednesday,July,Monsoon,Ilango,+91-7788553760
2024-03-14,Vitamins,Tiruchirappalli,6,11.814723472387946,70.88834083432768,Thursday,March,Spring,Rakesh,+91-7997471358
2024-08-14,Paracetamol,Thanjavur,4,1.2594527227835588,5.037810891134235,Wednesday,August,Monsoon,Vijay,+91-8653239169
2024-06-22,Antacids,Salem,2,13.006178780772107,26.012357561544214,Saturday,June,Monsoon,Ganesh,+91-8037108177
2024-11-18,Paracetamol,Tiruchirappalli,6,7.45336945319816,44.72021671918896,Monday,November,Autumn,Siva,+91-8338393364
2024-02-13,Vitamins,Salem,6,3.105275451261801,18.631652707570808,Tuesday,February,Winter,Harish,+91-8898583063
2024-03-28,Antacids,Thanjavur,9,19.076805477711744,171.69124929940568,Thursday,March,Spring,Tharun,+91-9796967856
2024-12-30,Aspirin,Thanjavur,9,18.40496725722483,165.64470531502346,Monday,December,Winter,Gayathri,+91-8810051503
2024-08-17,Paracetamol,Vellore,5,2.4834222293877817,12.417111146938907,Saturday,August,Monsoon,Meera,+91-9901726344
2024-12-09,Antacids,Tiruchirappalli,1,10.814562880884726,10.814562880884726,Monday,December,Winter,Ishwarya,+91-9866489075
2024-01-18,Antacids,Coimbatore,1,19.44334542477392,19.44334542477392,Thursday,January,Winter,Jothi,+91-9171027880
2024-12-30,Vitamins,Thanjavur,5,8.722788298819186,43.613941494095926,Monday,December,Winter,Siva,+91-9464028786
2024-10-06,Vitamins,Coimbatore,9,16.308344422734873,146.77509980461386,Sunday,October,Autumn,Murali,+91-7534227952
2024-12-10,Antacids,Chennai,5,1.7203216972843451,8.601608486421725,Tuesday,December,Winter,Karthik,+91-7925829496
2024-04-02,Aspirin,Salem,7,9.06650616510218,63.46554315571525,Tuesday,April,Spring,Jaya,+91-9069623209
2024-09-15,Ibuprofen,Erode,5,14.923487356697214,74.61743678348607,Sunday,September,Autumn,Chitra,+91-9232382473
2024-07-30,Antacids,Kanchipuram,7,9.121766708171862,63.85236695720303,Tuesday,July,Monsoon,Ajay,+91-7733722070
2024-03-19,Vitamins,Vellore,7,6.541656535037062,45.791595745259436,Tuesday,March,Spring,Anjali,+91-8658742290
2024-11-07,Vitamins,Erode,5,9.954741573851074,49.77370786925537,Thursday,November,Autumn,Satish,+91-8887251521
2024-01-31,Aspirin,Coimbatore,7,6.3185442602204045,44.22980982154283,Wednesday,January,Winter,Harish,+91-7461575482
2024-03-16,Ibuprofen,Vellore,8,4.5795909328732805,36.636727462986244,Saturday,March,Spring,Chandran,+91-8119798935
2024-08-26,Ibuprofen,Tirunelveli,8,9.961192979595406,79.68954383676325,Monday,August,Monsoon,Tharun,+91-9641044700
2024-01-04,Ibuprofen,Tirunelveli,7,5.088469005600987,35.61928303920691,Thursday,January,Winter,Yamuna,+91-7676660752
2024-09-27,Vitamins,Tirunelveli,5,5.5327544887306885,27.663772443653443,Friday,September,Autumn,Balaji,+91-7866526650
2024-12-15,Ibuprofen,Madurai,2,7.316161274765767,14.632322549531533,Sunday,December,Winter,Divya,+91-8152152662
2024-07-09,Vitamins,Tiruchirappalli,8,11.37296081301053,90.98368650408425,Tuesday,July,Monsoon,Gokul,+91-8592051307
2024-06-27,Ibuprofen,Kanchipuram,7,17.674749170314552,123.72324419220186,Thursday,June,Monsoon,Jaya,+91-8615476323
2024-11-22,Antacids,Thanjavur,7,12.775669601243576,89.42968720870503,Friday,November,Autumn,Rajesh,+91-7537272950
2024-08-30,Paracetamol,Chennai,9,11.515558163727839,103.64002347355054,Friday,August,Monsoon,Oviya,+91-9868364066
2024-07-26,Vitamins,Vellore,7,14.344443711142437,100.41110597799707,Friday,July,Monsoon,Elango,+91-8709980194
2024-08-31,Paracetamol,Salem,5,5.901216785760455,29.506083928802273,Saturday,August,Monsoon,Lalith,+91-9276326543
2024-01-09,Antacids,Coimbatore,8,6.387596586949473,51.100772695595786,Tuesday,January,Winter,Usha,+91-8941179005
2024-04-12,Paracetamol,Tiruchirappalli,3,11.51729722986923,34.55189168960769,Friday,April,Spring,Naren,+91-8503532208
2024-11-01,Antacids,Coimbatore,7,10.233057162526384,71.6314001376847,Friday,November,Autumn,Ishwarya,+91-8341091172
2024-12-09,Paracetamol,Chennai,9,10.219021788007097,91.97119609206388,Monday,December,Winter,Rukmani,+91-9351214798
2024-10-04,Aspirin,Erode,7,6.591966263675392,46.14376384572775,Friday,October,Autumn,Murali,+91-8101035569
2024-10-26,Aspirin,Coimbatore,6,7.951950761781747,47.711704570690486,Saturday,October,Autumn,Karthik,+91-9598158914
2024-08-26,Antacids,Salem,1,16.07463015325143,16.07463015325143,Monday,August,Monsoon,Shankar,+91-9938778198
2024-07-15,Ibuprofen,Tirunelveli,8,3.773009913448749,30.184079307589993,Monday,July,Monsoon,Nisha,+91-8854091803
2024-07-04,Antacids,Thanjavur,6,3.1878110120982686,19.12686607258961,Thursday,July,Monsoon,Yamuna,+91-7313307206
2024-05-28,Antacids,Chennai,3,19.920770064816576,59.762310194449725,Tuesday,May,Spring,Kalyani,+91-9517316827
